,0,L8 code
0,DMBeh,HowTechInfEm
1,HowTechInfBeh,HowTechInfBeh
2,KnowGoodDH,KnowDepthUnbalWell
3,EarlyAdopt,EarlyAdopt
4,KnowHardSoftWare,TeamCommSkill
5,STEnt,LimitST
6,LimitST,LimitST
7,CreateContentOnline,CreateContentOnline
8,CreateContentOnline,CreateContentOnline
9,LimitST,LimitST
10,CreateContentOnline,ManageDigitalInitiative
11,STEnt,STEnt
12,CreateContentOnline,CreateContentOnline
13,LimitST,KnowGoodDH
14,LimitST,LimitST
15,CreateContentOnline,CreateContentOnline
16,CreateContentOnline,KnowGoodDH
17,AwareSTHabits,AwareSTHabits
18,AwareSTHabits,AwareSTHabits
19,AwareSTHabits,AwareSTHabits
20,HowTechInfEm,HowTechInfEm
21,CreateContentOnline,CreateContentOnline
22,CollabEdit,CollabEdit
23,CreateContentOnline,CreateContentOnline
24,CreateContentOnline,CreateContentOnline
25,CreateContentOnline,CreateContentOnline
26,LimitST,KnowGoodDH
27,KnowGoodDH,AwareSTHabits
28,CreateContentOnline,CollabEdit
29,CreateContentOnline,CreateContentOnline
30,LimitST,LimitST
31,KnowGoodDH,KnowGoodDH
32,LimitST,LimitST
33,KnowGoodDH,KnowGoodDH
34,TeamCommSkill,TeamCommSkill
35,KnowGoodDH,MultiOnlinePersona
36,KnowGoodDH,KnowGoodDH
37,FeedbackLoop,FeedbackLoop
38,KnowGoodDH,AwareSTHabits
39,LimitST,LimitST
40,FeedbackLoop,FeedbackLoop
41,FeedbackLoop,FeedbackLoop
42,FeedbackLoop,FeedbackLoop
43,FeedbackLoop,FeedbackLoop
44,FeedbackLoop,TeamCommSkill
45,CommTech,CommTech
46,FeedbackLoop,TeamCommSkill
47,FeedbackLoop,FeedbackLoop
48,FeedbackLoop,FeedbackLoop
49,FeedbackLoop,FeedbackLoop
50,CreateContentOnline,CreateContentOnline
51,KnowHardSoftWare,CreateContentOnline
52,CreateContentOnline,CreateContentOnline
53,CreateContentOnline,CreateContentOnline
54,BasicContentSkills,BasicContentSkills
55,CreateContentOnline,CreateContentOnline
56,CreateContentOnline,LimitST
57,KnowHardSoftWare,KnowHardSoftWare
58,LimitST,LimitST
59,KnowGoodDH,KnowGoodDH
60,CreateContentOnline,LimitST
61,KnowGoodDH,KnowGoodDH
62,FeedbackLoop,FeedbackLoop
63,MobileOpSkills,MobileOpSkills
64,CreateContentOnline,FavAttDF
65,AwareSTHabits,AwareSTHabits
66,KnowGoodDH,KnowGoodDH
67,KnowGoodDH,KnowGoodDH
68,LimitST,LimitST
69,AttGlobal,FavAttDF
70,KnowGoodDH,KnowGoodDH
71,KnowGoodDH,KnowGoodDH
72,LimitST,LimitST
73,TeamCommSkill,TeamCommSkill
74,KnowGoodDH,CollabEdit
75,LimitST,NaviInfo
76,CommSkillsCB,DMBeh
77,LimitST,AwareSTHabits
78,CollabEdit,KnowHardSoftWare
79,CollabEdit,AwareSTHabits
80,KnowHardSoftWare,CreateContentOnline
81,STEnt,STEnt
82,LimitST,LimitST
83,CollabEdit,CollabEdit
84,ShareStoryPlatform,ShareStoryPlatform
85,FeedbackLoop,FeedbackLoop
86,CommDistance,BasicContentSkills
87,CreateContentOnline,CreateContentOnline
88,CollabEdit,CollabEdit
89,OrganizeInfo,OrganizeInfo
90,CollabEdit,EarlyAdopt
91,KnowGoodDH,KnowGoodDH
92,EditContentOnline,CreateContentOnline
93,BasicContentSkills,BasicContentSkills
94,CreateContentOnline,CreateContentOnline
95,OrganizeInfo,OrganizeInfo
96,CreateContentOnline,CreateContentOnline
97,CollabEdit,CollabEdit
98,AwareSTHabits,AwareSTHabits
99,EditContentOnline,BasicContentSkills
100,BasicContentSkills,TeamCommSkill
101,DesignStrategy,DesignStrategy
102,DesignStrategy,DesignStrategy
103,OnlineSocialMovement,OnlineSocialMovement
104,BasicContentSkills,BasicContentSkills
105,KnowHardSoftWare,KnowHardSoftWare
106,BasicContentSkills,KnowHardSoftWare
107,BasicContentSkills,BasicContentSkills
108,CollabEdit,CollabEdit
109,KnowHardSoftWare,KnowHardSoftWare
110,CollabEdit,CollabEdit
111,KnowGoodDH,KnowGoodDH
112,BasicContentSkills,EditContentOnline
113,WebDev,WebDev
114,CollabEdit,CollabEdit
115,WebDev,WebDev
116,KnowHardSoftWare,BasicContentSkills
117,KnowHardSoftWare,KnowHardSoftWare
118,BasicContentSkills,BasicContentSkills
119,WebDev,WebDev
120,CollabEdit,BeyondSustainability
121,BasicContentSkills,BasicContentSkills
122,BeyondSustainability,BeyondSustainability
123,KnowPersonalInfo,SkillsLimitPI
124,CollabEdit,CollabEdit
125,LimitST,KnowGoodDH
126,BasicContentSkills,BasicContentSkills
127,CreateContentOnline,CreateContentOnline
128,CollabEdit,CollabEdit
129,CreateContentOnline,KnowHardSoftWare
130,CreateContentOnline,CreateContentOnline
131,CollabEdit,CollabEdit
132,CreateContentOnline,CreateContentOnline
133,CollabEdit,CollabEdit
134,KnowGoodDH,KnowGoodDH
135,CreateContentOnline,CreateContentOnline
136,CollabEdit,KnowGoodDH
137,LimitST,LimitST
138,LimitST,LimitST
139,LimitST,LimitST
140,KnowGoodDH,KnowGoodDH
141,KnowGoodDH,KnowGoodDH
142,LimitST,LimitST
143,KnowGoodDH,KnowGoodDH
144,KnowGoodDH,CollabEdit
145,KnowGoodDH,KnowGoodDH
146,KnowGoodDH,KnowGoodDH
147,EarlyAdopt,EarlyAdopt
148,LimitST,LimitST
149,KnowGoodDH,SelfEfficacy
150,AwareSTHabits,AwareSTHabits
