,0,L8 code
0,MediaCampaign,MediaCampaign
1,MediaCampaign,MediaCampaign
2,MediaCampaign,MediaInfKnow
3,DigMarketing,BasicContentSkills
4,DigMarketing,DigMarketing
5,DigMarketing,DigMarketing
6,MediaCampaign,MediaCampaign
7,MediaCampaign,MediaCampaign
8,DigMarketing,DigMarketing
9,MediaInfKnow,MediaInfKnow
10,MediaInfKnow,MediaInfKnow
11,MediaCampaign,MediaCampaign
12,MediaInfKnow,MediaInfKnow
13,MediaInfKnow,MediaInfKnow
14,MediaCampaign,MediaCampaign
15,MediaInfKnow,MediaInfKnow
16,MediaInfKnow,IdeaDigitalInitiative
17,IdeaDigitalInitiative,IdeaDigitalInitiative
18,MediaInfKnow,MediaInfKnow
19,MediaCampaign,MediaCampaign
20,DigMarketing,DigMarketing
21,DigitalMarketing,DigitalMarketing
22,TeamCommSkill,TeamCommSkill
23,MediaCampaign,DigMarketing
24,MediaCampaign,MediaCampaign
25,MediaInfKnow,MediaInfKnow
26,MediaInfKnow,MediaInfKnow
27,BasicKnowContRisk,BasicKnowContRisk
28,MediaCampaign,MediaCampaign
29,MediaCampaign,MediaCampaign
30,MediaCampaign,DigMarketing
31,MediaCampaign,MediaCampaign
32,MediaInfKnow,MediaInfKnow
33,TeamCommSkill,TeamCommSkill
34,MediaCampaign,MediaCampaign
35,KnowGoodDH,FeedbackLoop
36,BasicContentSkills,BasicContentSkills
37,CommReasons,CommReasons
38,MediaCampaign,MediaCampaign
39,FeedbackLoop,FeedbackLoop
40,KnowMyPISafe,KnowGoodDH
41,MediaInfKnow,MediaInfKnow
42,MediaInfKnow,MediaInfKnow
43,MediaInfKnow,MediaInfKnow
44,BeyondSustainability,MediaInfKnow
45,MediaInfKnow,MediaInfKnow
46,MediaInfKnow,MediaCampaign
47,MediaInfKnow,MediaInfKnow
48,MediaInfKnow,MediaInfKnow
49,MediaInfKnow,MediaInfKnow
50,MediaInfKnow,MediaInfKnow
51,MediaCampaign,MediaCampaign
52,RuleST,RuleST
53,Devicefree,Devicefree
54,Devicefree,Devicefree
55,MediaInfKnow,MediaInfKnow
56,Devicefree,Devicefree
57,MediaInfKnow,MediaInfKnow
58,MediaInfKnow,MediaInfKnow
59,FactCheckingInfo,FactCheckingInfo
60,MediaInfKnow,MediaInfKnow
61,MediaInfKnow,MediaInfKnow
62,MediaInfKnow,MediaInfKnow
63,DigitalPlatforms,DigitalPlatforms
64,MediaInfKnow,MediaInfKnow
65,MediaInfKnow,MediaInfKnow
66,MediaInfKnow,MediaInfKnow
67,ConstOnlinePersona,ConstOnlinePersona
68,ConstOnlinePersona,FeedbackLoop
69,DMBeh,DMBeh
70,FeedbackLoop,FeedbackLoop
71,ConstOnlinePersona,GameDev
72,ConstOnlinePersona,DMBeh
73,CommReasons,CommReasons
74,BasicKnowContRisk,BasicKnowContRisk
75,ConstOnlinePersona,ConstOnlinePersona
76,ConstOnlinePersona,BasicKnowContRisk
77,ConstOnlinePersona,ConstOnlinePersona
78,BasicKnowContRisk,BasicImpactContRisk
79,AvoidRiskContent,AvoidRiskContent
80,KnowGoodDH,KnowGoodDH
81,KnowGoodDH,KnowGoodDH
82,KnowGoodDH,KnowGoodDH
83,BasicKnowContRisk,CommReasons
84,BasicKnowContRisk,BasicKnowContRisk
85,BasicKnowContRisk,BasicKnowContRisk
86,BasicKnowContRisk,BasicKnowContRisk
87,AttSocialComparison,AttSocialComparison
88,BasicKnowContRisk,BasicKnowContRisk
89,BasicKnowContRisk,CommReasons
90,BasicKnowContRisk,BasicKnowContRisk
91,KnowGoodDH,KnowGoodDH
92,BasicKnowContRisk,BasicKnowContRisk
93,InternetAct,InternetAct
94,BasicContentSkills,BasicContentSkills
95,AttSocialComparison,AttSocialComparison
96,AttCoherence,AttCoherence
97,BasicKnowContRisk,BasicKnowContRisk
98,BasicKnowContRisk,BasicKnowContRisk
99,BasicKnowContRisk,BasicKnowContRisk
100,BasicKnowContRisk,BasicKnowContRisk
101,BasicKnowContRisk,BasicKnowContRisk
102,BasicKnowContRisk,BasicKnowContRisk
103,BasicKnowContRisk,BasicKnowContRisk
104,BasicKnowContRisk,BasicKnowContRisk
105,BasicKnowContRisk,BasicKnowContRisk
106,RuleST,RuleST
107,BasicKnowContRisk,BasicKnowContRisk
108,BasicKnowContRisk,BasicKnowContRisk
109,BasicKnowContRisk,BasicKnowContRisk
110,BasicKnowContRisk,BasicKnowContRisk
111,BasicKnowContRisk,BasicKnowContRisk
112,AwareOtherEm,AwareOtherEm
113,AwareOtherEm,AwareOtherEm
114,ImpEmpathy,ImpEmpathy
115,NatureOnline,NatureOnline
116,AwareOtherEm,HowTechInfEm
117,SkillKindOnline,SkillKindOnline
118,TeamCommSkill,TeamCommSkill
